Bloomberg Corporate Action Calendar - CACT<GO>,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Action Type,Security ID,Announce/Declared Date,Effective Date,Amd Flag,Summary,Summary,Summary,Summary,Summary,Summary
Spin-off,ARNCUSD EU Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCGBP EU Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,0TCUL PO Equity,12/17/2019,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCEUR EU Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCUSD EZ Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,48Z QT Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCCHF EO Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNC TE Equity,12/17/2019,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,48Z GZ Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCEUR EP Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,48Z TH Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,0TCUL L3 Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,HWM CI Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCEUR EO Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,HWM* MM Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,0TCUL B3 Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCEUR EZ Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCUSD EP Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
